GSSCode,Borough,Yr,Population,Fatal,Serious,Slight
E09000001,City of London,2013,7600,1,59,285
E09000002,Barking and Dagenham,2013,194400,7,38,475
E09000003,Barnet,2013,369100,8,123,1097
E09000004,Bexley,2013,236700,10,30,439
E09000005,Brent,2013,317300,3,81,873
E09000006,Bromley,2013,317900,5,65,718
E09000007,Camden,2013,229700,4,101,760
E09000008,Croydon,2013,372800,13,58,1021
E09000009,Ealing,2013,342500,4,77,1069
E09000010,Enfield,2013,320500,8,64,940
E09000011,Greenwich,2013,264000,2,26,661
E09000012,Hackney,2013,257400,5,78,807
E09000013,Hammersmith and Fulham,2013,178700,3,50,625
E09000014,Haringey,2013,263400,6,100,812
E09000015,Harrow,2013,243400,8,37,404
E09000016,Havering,2013,242100,12,46,622
E09000017,Hillingdon,2013,286800,15,57,641
E09000018,Hounslow,2013,262400,10,61,839
E09000019,Islington,2013,215700,3,68,789
E09000020,Kensington and Chelsea,2013,155600,2,62,661
E09000021,Kingston upon Thames,2013,166800,8,36,433
E09000022,Lambeth,2013,314200,3,126,1214
E09000023,Lewisham,2013,286200,6,58,876
E09000024,Merton,2013,203200,0,32,481
E09000025,Newham,2013,318200,3,54,773
E09000026,Redbridge,2013,288300,7,49,747
E09000027,Richmond upon Thames,2013,191400,0,48,482
E09000028,Southwark,2013,298500,5,82,905
E09000029,Sutton,2013,195900,2,29,454
E09000030,Tower Hamlets,2013,272900,3,81,933
E09000031,Waltham Forest,2013,265800,3,51,580
E09000032,Wandsworth,2013,310500,5,94,904
E09000033,Westminster,2013,226800,2,171,1555
E09000001,City of London,2014,8100,4,51,335
E09000002,Barking and Dagenham,2014,198300,2,38,609
E09000003,Barnet,2014,374900,5,93,1178
E09000004,Bexley,2014,239900,12,23,532
E09000005,Brent,2014,320800,2,83,982
E09000006,Bromley,2014,321300,3,47,818
E09000007,Camden,2014,234800,3,67,967
E09000008,Croydon,2014,376000,9,62,1043
E09000009,Ealing,2014,342100,1,80,1209
E09000010,Enfield,2014,324600,4,48,951
E09000011,Greenwich,2014,268700,4,36,730
E09000012,Hackney,2014,263200,7,53,960
E09000013,Hammersmith and Fulham,2014,178400,3,66,694
E09000014,Haringey,2014,267500,4,81,1015
E09000015,Harrow,2014,246000,8,48,542
E09000016,Havering,2014,246000,9,42,727
E09000017,Hillingdon,2014,292700,10,80,860
E09000018,Hounslow,2014,265600,10,59,1001
E09000019,Islington,2014,221000,1,92,875
E09000020,Kensington and Chelsea,2014,156200,2,67,721
E09000021,Kingston upon Thames,2014,170000,9,37,435
E09000022,Lambeth,2014,318200,4,89,1294
E09000023,Lewisham,2014,291900,7,56,976
E09000024,Merton,2014,203500,3,47,567
E09000025,Newham,2014,324300,5,59,901
E09000026,Redbridge,2014,293100,9,44,951
E09000027,Richmond upon Thames,2014,193600,3,51,555
E09000028,Southwark,2014,302500,5,64,1045
